Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
A cultural accommodation model for cross-cultural psychotherapy: Illustrated with the case of Asian Americans.,"Leong, Frederick T.; Lee, Szu-Hui","Psychotherapy: Theory, Research, Practice, Training",00333204,1591479274,20061201,43,4,410,14,2006-23019-005,10.1037/0033-3204.43.4.410,Educational Publishing Foundation,Journal Article,Acculturation; Cross Cultural Differences; Minority Groups; Psychotherapy; Self-Concept; Asians,,"As an extension of F. T. L. Leong's (1996) integrative model, this article presents the cultural accommodation model (CAM), an enhanced theoretical guide to effective cross-cultural clinical practice and research. Whereas F. T. L. Leong's model identifies the importance of integrating the universal, group, and individual dimensions, the CAM takes the next step by providing a theoretical guide to effective psychotherapy with culturally different clients by means of a cultural accommodation process. This model argues for the importance of selecting and applying culture-specific constructs when working with culturally diverse groups. The first step of the CAM is to identify cultural disparities that are often ignored and then accommodate them by using current culturally specific concepts. In this article, several different cultural 'gaps' or culture-specific constructs of relevance to Asian Americans with strong scientific foundations are selected and discussed as they pertain to providing effective psychotherapy to this ethnic minority group. Finally, a case study is incorporated to illustrate application of the CAM. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-23019-005&site=ehost-live&scope=site
A federal perspective on prevention and behavioral health disparities in the Asian American and Pacific Islander population.,"Bui, Juliet; Dutta, Trina",Asian American Journal of Psychology,19481985,1433818574,20140601,5,2,153,7,2014-25103-009,10.1037/a0036992,Educational Publishing Foundation,Journal Article,Government Policy Making; Health Care Psychology; Prevention; Health Disparities; Asians; Pacific Islanders,,"This special issue covers many programs and practices that align with federal efforts, as well as identifies challenges and opportunities for the federal government to better address the behavioral health needs of Asian Americans and Pacific Islanders (AAPIs). The studies in this issue in particular put a much needed focus on prevention within the AAPI community and discuss implications for research, practice, and policy. The timing of these studies and this special issue is especially important, given recent federal focus on prevention and behavioral health disparities. The Affordable Care Act (ACA; Patient Protection and Affordable Care Act, 2010) has increased attention on the role of prevention and spawned the National Prevention Strategy (National Prevention Council, 2011). Similarly, the ACA (2010) has heightened a focus on health disparities, leading to the creation of federal offices of minority health, a policy for more granular data collection of within-group subpopulations, and, most importantly, the first-ever U.S. Department of Health and Human Services (2011; HHS) HHS Action Plan to Reduce Racial and Ethnic Health Disparities. Driven by the ACA (2010) and the HHS Action Plan, the Substance Abuse and Mental Health Services Administration (SAMHSA) has elevated attention to behavioral health disparities and maintained a strategic focus on prevention. The studies in this special issue align remarkably well with these federal efforts. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-25103-009&site=ehost-live&scope=site
"A focus group exploration of the impact of izzat, shame, subordination and entrapment on mental health and service use in South Asian women living in Derby.","Gilbert, Paul; Gilbert, Jean; Sanghera, Jasvinder","Mental Health, Religion & Culture",13674676,,20040601,7,2,109,22,2004-15513-002,10.1080/13674670310001602418,Taylor & Francis,Journal Article,Cross Cultural Differences; Health Care Utilization; Mental Health; Obedience; Shame; Asians; Ethnic Values; Psychopathology; South Asian Cultural Groups; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Female,,"There is increasing evidence suggesting that shame, subordination and entrapment can play a powerful role in psychopathology. However, we know little about how these processes are experienced in different communities. This study therefore sets out to examine South Asian women's views of these processes and how they impact on their lives. It was found that reflected shame and honour (the shame and honour that can be brought to others by one's own behaviour) is called izzat. The importance of maintaining family honour and identifying with it (izzat) was linked to personal shame. It was also given as a reason people can be trapped in difficult relationships. Moreover, fear of reflected shame and loss of izzat were regarded as key reasons South Asian women might not use mental health services. A central fear was a failure by professionals to keep confidentiality--a fear found in other research. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-15513-002&site=ehost-live&scope=site
"A foot in both worlds: Asian Americans' perceptions of Asian, White, and racially ambiguous faces.","Willadsen-Jensen, Eve C.; Ito, Tiffany A.",Group Processes & Intergroup Relations,13684302,,20080401,11,2,182,19,2008-06177-004,10.1177/1368430207088037,Sage Publications,Journal Article,Evoked Potentials; Face Perception; Ingroup Outgroup; Intergroup Dynamics; Racial and Ethnic Differences; Asians; Whites; Adulthood (18 yrs & older); Male; Female,,"Past research on racial perception has often focused on responses from White participants, making it difficult to determine the role of perceiver race in the perception of others. Similarly, studies examining perceptions of individuals whose racial category membership is unclear have not systematically examined responses from non-Whites. This was addressed by showing Asian participants pictures of Whites, Asians, and racially ambiguous White-Asian faces. Event-related potentials were recorded to measure early attention responses. Participants initially oriented more to outgroup White than ingroup Asian or racially ambiguous faces. Shortly after that, they showed sensitivity to the racial context in which the faces were presented, more deeply processing ingroup Asian and racially ambiguous faces when they were seeing lots of other Asians, but more deeply processing outgroup White and racially ambiguous faces when they were seeing lots of other Whites. Still later, responses were more sensitive to the objective physical properties of the faces, with racially ambiguous faces differentiated from both Whites and Asians. These results demonstrate the fluidity of racial processing, and when compared to responses obtained from White participants, show how perceiver race and racial context influences attention to racial cues. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-06177-004&site=ehost-live&scope=site
A grounded theory of Western-trained Asian group leaders leading groups in Asia.,"Taephant, Nattasuda; Rubel, Deborah; Champe, Julia",Journal for Specialists in Group Work,01933922,,20150101,40,1,74,28,2015-05358-006,10.1080/01933922.2014.993054,Taylor & Francis,Journal Article,Grounded Theory; Group Psychotherapy; Leadership; Group Intervention; Asians; Adulthood (18 yrs & older); Male; Female,,"This grounded theory research explored the experiences of Western-trained Asian group leaders leading groups in Asia. A total of 6 participants from Japan, Taiwan, and Thailand were interviewed 3 times over 9 months. The recursive process of data collection and analysis yielded substantive theory describing the participants’ process of reconciling Western training with the Asian, international context in which they were leading groups. The concepts and process comprising this theory illustrate how participants engaged in reflective experimentation to integrate personal experience, Western training, and emic knowledge of cultures to develop culturally appropriate group interventions. Implications for group work practice, training, and research are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-05358-006&site=ehost-live&scope=site
A holistic account of the own-race effect in face recognition: Evidence from a cross-cultural study.,"Tanaka, James W.; Kiefer, Markus; Bukach, Cindy M.",Cognition,00100277,,20040801,93,1,B1,9,2004-15577-003,10.1016/j.cognition.2003.09.011,Elsevier Science,Journal Article,Cross Cultural Differences; Face (Anatomy); Face Perception; Memory; Asians; Whites; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female,,"A robust finding in the cross-cultural research is that people's memories for faces of their own race are superior to their memories for other-race faces. However, the mechanisms underlying the own-race effect have not been well defined. In this study, a holistic explanation was examined in which Caucasian and Asian participants were asked to recognize features of Caucasian and Asian faces presented in isolation and in the whole face. The main finding was that Caucasian participants recognized own-race faces more holistically than Asian faces whereas Asian participants demonstrated holistic recognition for both own-race and other-race faces. The differences in holistic recognition between Caucasian and Asian participants mirrored differences in their relative experience with own-race and other-race faces. These results suggest that the own-race effect may arise from the holistic recognition of faces from a highly familiar racial group. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-15577-003&site=ehost-live&scope=site
A multivariate analysis of social distance in Hawaii.,"Kinloch, Graham C.",The Journal of Social Psychology,00224545,,19860201,126,1,137,3,1987-24809-001,10.1080/00224545.1986.9713585,Heldref Publications,Journal Article,Authoritarianism; Personal Space; Racial and Ethnic Groups; Racial and Ethnic Differences; Social Class; Asians; Blacks; Group Size; Social Interaction; Whites; Adulthood (18 yrs & older),,"Hypothesized that social distance among smaller and less established racial groups would be differentiated by length of residence in Hawaii rather than by social origins, operating through group involvement and authoritarianism. It was also hypothesized that larger and more established groups would demonstrate the reverse, with all factors operating among the racially mixed. 1,346 Chinese, Japanese, Korean, Caucasian, Filipino, Black, Hawaiian, and mixed undergraduates completed an authoritarianism scale and were given summary scores on overall level of social distance across 8 levels of contact and 9 racial groups. In general, the hypotheses were confirmed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1987-24809-001&site=ehost-live&scope=site
A new scale to assess culture-specific beliefs and attitudes about epilepsy.,"Gajjar, Mina; Geva, Esther; Humphries, Tom; Peterson-Badali, Michele; Otsubo, Hiroshi",Epilepsy & Behavior,15255050,,20000801,1,"4,Part1",235,21,2002-02692-006,10.1006/ebeh.2000.0078,Elsevier Science,Journal Article,Attitudes; Cross Cultural Differences; Epilepsy; Rating Scales; Test Validity; Analysis of Variance; Asians; Multivariate Analysis; Psychometrics; Whites; Childhood (birth-12 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs); Adulthood (18 yrs & older); Male; Female,,"Evaluated a rating scale to assess cultural diversity in North American people's understanding of epilepsy and assessed its psychometric properties. The content of the scale was based on the hypotheses that cultural diversity and experience with epilepsy would be associated with differences in people's beliefs and attitudes about epilepsy. 117 Caucasians, 71 South Asians, and 40 East Asians, participated. Adults and children completed the new scale, Epilepsy Beliefs and Attitudes Scale. A method of principal-axis factor analysis yielded 3 factors which were referred to as the Neurological, Enviro-psycho-physical, and Metaphysical subscales to emphasize the underlying themes of beliefs and attitudes they represented. A multivariate analysis of variance revealed a significant main effect for culture, epilepsy status, and epilepsy familiarity group. Further analysis was conducted between demographic variables, culture, and Ss' subscale scores. Results indicated that age, gender, and education were not related to differential responses to the scale. However, a significant effect for the duration of stay in North America was found. An examination of the role of faith in higher power revealed that the Ss may consider both the Neurological and Metaphysical beliefs concurrently. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2002-02692-006&site=ehost-live&scope=site
A Note on the Stability of International Comparative Survey Data: Comparison of survey data of 'Health and Culture Survey' and 'East Asian Value Survey' in Korea and Taiwan.,"Yamaoka, Kazue; Lee, Sangyoon",Japanese Journal of Behaviormetrics,03855481,,20040901,31,2,125,11,2005-00097-003,10.2333/jbhmk.31.125,Behaviormetric Society of Japan,Journal Article,Response Frequency; Surveys; Asians; Health; Sociocultural Factors; Values,,"In this research note, we examined the degree of difference/concordance among the response rates and the differences between the response rates due to the effect of weighting on the response data acquired from two surveys, the Health and Culture Survey and the East Asian Value Survey. The differences between the response rates, as well as the scale values between the two surveys, were relatively small and the structures of the response patterns were relatively similar. These findings indicate that the reliability of the survey results is relatively high. The difference between the original and the weighted Korean survey proved to be relatively minor (maximum difference of 3.5%) , and the effect of weighting on the response data proved negligible. It has been recognized that comparison of pattern structures in groups of multiple questions, rather than comparison of response rates for each question, is important when seeking cross-national comparability. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-00097-003&site=ehost-live&scope=site
A psychometric evaluation of the Loss of Face Scale.,"Leong, Frederick T. L.; Byrne, Barbara M.; Hardin, Erin E.; Zhang, Huaiyu; Chong, Sinhui",Psychological Assessment,10403590,,20180301,30,3,396,14,2017-20206-001,10.1037/pas0000492,American Psychological Association,Journal Article,Factor Structure; Rating Scales; Shame; Test Construction; Test Reliability; Asians; Cross Cultural Differences; Distress; Self-Esteem; Self-Perception; Test Validity; Adulthood (18 yrs & older); Male; Female,,"Face and loss of face (LOF) are important social and clinical constructs in many cultures. The present study evaluated the psychometric properties of the LOF Scale in 4 samples of European Americans and Asian Americans with a total of 2,057 participants. We found LOF Scale scores to have high internal reliability across all samples. Confirmatory factor analyses comparing 1- and 2-factor models supported a 1-factor structure for both European and Asian Americans, albeit 4 items (Items 3, 13, 14, and 20) were found to be noninvariant across the 2 groups. Two error covariances between Items 2 and 3, and between Items 11 and 20 were both substantial and invariant across groups. Tests of latent mean differences revealed a mean LOF score that was significantly higher for Asian Americans than for European Americans. Finally, the LOF scores correlated with affective distress and self-construal equally for Asian Americans and European Americans, correlated with some factors in collective self-esteem for both groups, and correlated with acculturation for Asian Americans. These results supported the LOF Scale as a psychometrically sound tool for assessing the unidimensional concept of the LOF across cultures. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-20206-001&site=ehost-live&scope=site
"A qualitative inquiry into racism, trauma, and coping: Implications for supporting victims of racism.","Lowe, Susana Ming; Okubo, Yuki; Reilly, Michael F.",Professional Psychology: Research and Practice,07357028,9781433812507,20120601,43,3,190,9,2012-14976-003,10.1037/a0026501,American Psychological Association,Journal Article,Coping Behavior; Racism; Trauma; Asians; Minority Groups; Adulthood (18 yrs & older); Male; Female,,"What is the quality of support available to those who experience everyday racism? How can we as psychologists, whether we are people of color or not, provide the support that clients want and need from us? Interviewing 19 adults who volunteered to talk about racism and other 'isms' in their lives, we shed light on what it's like to be the target of racism, both the direct and insidious types of transgressions, but more importantly, what it's like to live in the aftermath of these incidents. We explore the quality and availability of support, secret fantasies of victims, and intergenerational impact on these diverse individuals, many of whom are of Asian descent. The current study fills a gap in the literature by bringing forth the voices of Asian Americans, one of the fastest growing racial minority groups in the nation and yet one that continues to be stereotyped as a model minority who escapes racial aggression. Synthesizing the powerful stories of all of our participants, we offer an empowering message about what we can do to provide support, mitigate the adverse impact of racism, and help foster resiliency. Equally powerful are the messages about what not to do, and how even best intentions can sometimes result in secondary traumas on victims of racism. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-14976-003&site=ehost-live&scope=site
